Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurrence,Reporting District,Agency,Report/No Report
B16-13851,4/13/16,9:26 PM,April,Wednesday,DRUNK,111 S GRANT ST; TRINITY EPISCOPAL,LB104,BPD,NO REPORT NEEDED
B16-13859,4/13/16,10:38 PM,April,Wednesday,DRUNK,2339 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-13832,4/13/16,7:47 PM,April,Wednesday,DRUNK,N LINCOLN ST & E 6TH ST,LB102,BPD,REPORT NEEDED
B16-13740,4/13/16,2:28 AM,April,Wednesday,NOISE,1454 N KINSER PIKE,LB512,BPD,NO REPORT NEEDED
B16-13821,4/13/16,5:20 PM,April,Wednesday,NOISE,3100 S WALNUT STREET PIKE; B168,LB336,BPD,NO REPORT NEEDED
B16-13867,4/13/16,11:20 PM,April,Wednesday,NOISE,502 S MULLER PKWY; apt 235,LB404,BPD,NO REPORT NEEDED
B16-13829,4/13/16,6:56 PM,April,Wednesday,NOISE,612 S STATE ROAD 446,LB307,BPD,NO REPORT NEEDED
B16-13809,4/13/16,4:15 PM,April,Wednesday,NOISE,619 S LINCOLN ST,LB301,BPD,NO REPORT NEEDED
B16-13839,4/13/16,8:21 PM,April,Wednesday,NOISE,N PARK AVE & E 9TH ST,LB215,BPD,NO REPORT NEEDED
B16-13807,4/13/16,4:04 PM,April,Wednesday,NOISE,N WASHINGTON ST & E 7TH ST,LB102,BPD,NO REPORT NEEDED
B16-13858,4/13/16,9:23 PM,April,Wednesday,NOISE,S HENDERSON ST & E 1ST ST,LB302,BPD,NO REPORT NEEDED
B16-14003,4/14/16,7:50 PM,April,Thursday,DISTURBANCE IP,106 E 6TH ST; STUDIO M,LB102,BPD,NO REPORT NEEDED
B16-13958,4/14/16,3:00 PM,April,Thursday,DISTURBANCE IP,1115 S WALNUT ST; CIRCLE K GRIMES AND WALNUT,LB314,BPD,NO REPORT NEEDED
B16-14027,4/14/16,10:15 PM,April,Thursday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; BLDG A LOBBY,LB336,BPD,NO REPORT NEEDED
B16-14010,4/14/16,8:30 PM,April,Thursday,DISTURBANCE IP,405 E KIRKWOOD AVE; CAFE PIZZARIA; CAFE PIZZERIA,LB102,BPD,NO REPORT NEEDED
B16-13981,4/14/16,5:23 PM,April,Thursday,DISTURBANCE IP,645 S ROGERS ST; CENTERSTONE EAST 1; SUITE B,LB409,BPD,NO REPORT NEEDED
B16-14039,4/14/16,11:22 PM,April,Thursday,DISTURBANCE IP,919 S ROGERS ST; FRIENDS PLACE,LB412,BPD,REPORT NEEDED
B16-13931,4/14/16,1:08 PM,April,Thursday,DISTURBANCE IP,S HENDERSON ST & S BRANDON CT,LB326,BPD,NO REPORT NEEDED
B16-13970,4/14/16,3:55 PM,April,Thursday,DISTURBANCE NP,520 S VILLAGE CT,LB402,BPD,NO REPORT NEEDED
B16-13944,4/14/16,1:50 PM,April,Thursday,DRUNK,303 E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-14004,4/14/16,7:46 PM,April,Thursday,DRUNK,400 S OPPORTUNITY LN; AGAPE WOMENS SHELTER,LB404,BPD,NO REPORT NEEDED
B16-13877,4/14/16,12:27 AM,April,Thursday,DRUNK,550 S WALNUT ST; RALLYS,LB410,BPD,NO REPORT NEEDED
B16-14028,4/14/16,10:20 PM,April,Thursday,DRUNK,S ROGERS ST & W SMITH AVE,LB103,BPD,NO REPORT NEEDED
B16-14036,4/14/16,10:17 PM,April,Thursday,NOISE,120 S BRYAN AVE,LB222,BPD,NO REPORT NEEDED
B16-14037,4/14/16,9:39 PM,April,Thursday,NOISE,1424 N JACKSON ST; JACKSON HEIGHTS APARTMENTS,LB513,BPD,NO REPORT NEEDED
B16-13892,4/14/16,3:12 AM,April,Thursday,NOISE,2036 N WALNUT ST; a bldg,LB212,BPD,NO REPORT NEEDED
B16-14014,4/14/16,8:09 PM,April,Thursday,NOISE,2313 S BRANDON CT,LB326,BPD,NO REPORT NEEDED
B16-13874,4/14/16,12:07 AM,April,Thursday,NOISE,300 W GEORGIA AVE,LB519,BPD,NO REPORT NEEDED
B16-13880,4/14/16,12:35 AM,April,Thursday,NOISE,500 S MULLER PKWY; VILLAGE AT MULLER PARK,LB404,BPD,NO REPORT NEEDED
B16-13881,4/14/16,12:43 AM,April,Thursday,NOISE,502 S MULLER PKWY; APT 226,LB404,BPD,NO REPORT NEEDED
B16-13873,4/14/16,12:12 AM,April,Thursday,NOISE,504 S MULLER PKWY; apt 420,LB404,BPD,NO REPORT NEEDED
B16-14026,4/14/16,9:41 PM,April,Thursday,NOISE,703 W GOURLEY PIKE,LB513,BPD,NO REPORT NEEDED
B16-14015,4/14/16,8:54 PM,April,Thursday,NOISE,710 S HENDERSON ST,LB301,BPD,NO REPORT NEEDED
B16-14009,4/14/16,8:04 PM,April,Thursday,NOISE,710 S HENDERSON ST,LB301,BPD,NO REPORT NEEDED
B16-14049,4/14/16,11:57 PM,April,Thursday,NOISE,810 N WASHINGTON ST,LB213,BPD,NO REPORT NEEDED
B16-14046,4/14/16,11:48 PM,April,Thursday,NOISE,N LINCOLN ST & E 12TH ST,LB213,BPD,NO REPORT NEEDED
B16-14025,4/14/16,8:52 PM,April,Thursday,NOISE,N MAPLE ST & W 12TH ST,LB518,BPD,NO REPORT NEEDED
B16-14030,4/14/16,9:28 PM,April,Thursday,NOISE,S BRYAN AVE & E 5TH ST,LB222,BPD,NO REPORT NEEDED
B16-14149,4/15/16,2:37 PM,April,Friday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-14090,4/15/16,3:58 AM,April,Friday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-14085,4/15/16,3:47 AM,April,Friday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-14072,4/15/16,1:50 AM,April,Friday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-14248,4/15/16,10:55 PM,April,Friday,DISTURBANCE IP,3170 S WALNUT ST; SPEEDY WRECKER SERVICE,LB433,BPD,NO REPORT NEEDED
B16-14240,4/15/16,10:42 PM,April,Friday,DISTURBANCE IP,405 E 17TH ST; APT K6,LB212,BPD,REPORT NEEDED
B16-14198,4/15/16,6:56 PM,April,Friday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-14189,4/15/16,6:12 PM,April,Friday,DISTURBANCE IP,610 S HENDERSON ST,LB301,BPD,NO REPORT NEEDED
B16-14077,4/15/16,2:09 AM,April,Friday,DISTURBANCE IP,701 N COLLEGE AVE; STATION 11 APARTMENTS; apt 101,LB519,BPD,NO REPORT NEEDED
B16-14130,4/15/16,12:06 PM,April,Friday,DISTURBANCE NP,3700 W 3RD ST; KFC WEST  4131 W BROADWAY AVE,LB524,BPD,NO REPORT NEEDED
B16-14159,4/15/16,3:52 PM,April,Friday,DRUNK,100 E KIRKWOOD AVE; TROJAN HORSE,LB104,BPD,NO REPORT NEEDED
B16-14076,4/15/16,2:07 AM,April,Friday,DRUNK,100 N WALNUT ST,LB102,BPD,NO REPORT NEEDED
B16-14228,4/15/16,10:04 PM,April,Friday,DRUNK,106 W 6TH ST; GRATZIE,LB101,BPD,NO REPORT NEEDED
B16-14214,4/15/16,8:41 PM,April,Friday,DRUNK,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,REPORT NEEDED
B16-14230,4/15/16,10:14 PM,April,Friday,DRUNK,N GRANT ST & E 7TH ST,LB102,BPD,NO REPORT NEEDED
B16-14235,4/15/16,10:38 PM,April,Friday,DRUNK,N LINCOLN ST & E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-14083,4/15/16,3:35 AM,April,Friday,NOISE,1021 N INDIANA AVE,LB214,BPD,NO REPORT NEEDED
B16-14254,4/15/16,11:10 PM,April,Friday,NOISE,1115 E MILLER DR,LB316,BPD,NO REPORT NEEDED
B16-14227,4/15/16,9:40 PM,April,Friday,NOISE,1424 N JACKSON ST; JACKSON HEIGHTS APARTMENTS,LB513,BPD,NO REPORT NEEDED
B16-14055,4/15/16,12:15 AM,April,Friday,NOISE,209 E 12TH ST,LB213,BPD,NO REPORT NEEDED
B16-14096,4/15/16,4:40 AM,April,Friday,NOISE,224 W KIRKWOOD AVE,LB101,BPD,NO REPORT NEEDED
B16-14231,4/15/16,10:08 PM,April,Friday,NOISE,2303 E 2ND ST; BART VILLA APARTMENTS 2; APT 4,LB304,BPD,NO REPORT NEEDED
B16-14225,4/15/16,9:29 PM,April,Friday,NOISE,2314 S BRANDON CT,LB326,BPD,NO REPORT NEEDED
B16-14058,4/15/16,12:28 AM,April,Friday,NOISE,2801 W HEARTWOOD CT; apt g,LB415,BPD,NO REPORT NEEDED
B16-14081,4/15/16,3:26 AM,April,Friday,NOISE,2916 W ALDER CT,LB415,BPD,NO REPORT NEEDED
B16-14061,4/15/16,12:45 AM,April,Friday,NOISE,2916 W ALDER CT,LB415,BPD,NO REPORT NEEDED
B16-14063,4/15/16,12:39 AM,April,Friday,NOISE,316 E 2ND ST; BEACHWOOD MANOR APARTMENTS,LB301,BPD,NO REPORT NEEDED
B16-14155,4/15/16,3:15 PM,April,Friday,NOISE,420 S WOODLAWN AVE,LB302,BPD,NO REPORT NEEDED
B16-14073,4/15/16,1:48 AM,April,Friday,NOISE,500 E 1ST ST,LB301,BPD,NO REPORT NEEDED
B16-14067,4/15/16,1:05 AM,April,Friday,NOISE,500 E 2ND ST,LB301,BPD,NO REPORT NEEDED
B16-14075,4/15/16,1:55 AM,April,Friday,NOISE,700 S PARK AVE,LB302,BPD,NO REPORT NEEDED
B16-14255,4/15/16,11:07 PM,April,Friday,NOISE,800 N GRANT ST; APT 24,LB213,BPD,NO REPORT NEEDED
B16-14200,4/15/16,6:47 PM,April,Friday,NOISE,801 W 11TH ST,LB518,BPD,NO REPORT NEEDED
B16-14243,4/15/16,10:17 PM,April,Friday,NOISE,805 E HILLSIDE DR,LB313,BPD,NO REPORT NEEDED
B16-14207,4/15/16,7:59 PM,April,Friday,NOISE,S HENDERSON ST & E 1ST ST,LB302,BPD,NO REPORT NEEDED
B16-14170,4/15/16,4:08 PM,April,Friday,PANHANDLING,3175 W 3RD ST; KMART WEST,LB403,BPD,NO REPORT NEEDED
B16-14060,4/15/16,12:46 AM,April,Friday,VANDALISM IP,E 20TH ST & N LINCOLN ST,LB212,BPD,NO REPORT NEEDED
B16-14107,4/15/16,7:24 AM,April,Friday,VANDALISM NP,603 W COOLIDGE DR,LB423,BPD,REPORT NEEDED
B16-14139,4/15/16,1:37 PM,April,Friday,VANDALISM NP,S ROGERS ST & W KIRKWOOD AVE,LB408,BPD,NO REPORT NEEDED
B16-14323,4/16/16,3:59 AM,April,Saturday,DISTURBANCE IP,1341 W MILIEU DR; THE DILLION APT 18103,LB406,BPD,NO REPORT NEEDED
B16-14501,4/16/16,11:47 PM,April,Saturday,DISTURBANCE IP,1345 N LINCOLN ST,LB212,BPD,NO REPORT NEEDED
B16-14321,4/16/16,3:35 AM,April,Saturday,DISTURBANCE IP,1415 W ILLINOIS CT,LB517,BPD,NO REPORT NEEDED
B16-14301,4/16/16,2:27 AM,April,Saturday,DISTURBANCE IP,213 E BROWNSTONE DR,LB213,BPD,NO REPORT NEEDED
B16-14337,4/16/16,7:03 AM,April,Saturday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; BLD B,LB336,BPD,REPORT NEEDED
B16-14314,4/16/16,3:14 AM,April,Saturday,DISTURBANCE IP,3233 W JACOB DR; WHITE CASTLE,LB524,BPD,NO REPORT NEEDED
B16-14292,4/16/16,1:56 AM,April,Saturday,DISTURBANCE IP,430 E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-14285,4/16/16,1:25 AM,April,Saturday,DISTURBANCE IP,438 E VARSITY LN,LB212,BPD,NO REPORT NEEDED
B16-14472,4/16/16,9:38 PM,April,Saturday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-14272,4/16/16,12:28 AM,April,Saturday,DISTURBANCE IP,507 S MULLER PKWY; APT 702,LB404,BPD,NO REPORT NEEDED
B16-14461,4/16/16,8:45 PM,April,Saturday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,REPORT NEEDED
B16-14334,4/16/16,5:39 AM,April,Saturday,DISTURBANCE NP,701 W KIRKWOOD AVE; APT 1,LB408,BPD,REPORT NEEDED
B16-14330,4/16/16,5:13 AM,April,Saturday,DRUNK,1751 N STONELAKE DR; SUPER 8 MOTEL,LB510,BPD,NO REPORT NEEDED
B16-14264,4/16/16,12:16 AM,April,Saturday,DRUNK,17TH ST & COLLEGE AVE,LB519,BPD,REPORT NEEDED
B16-14494,4/16/16,11:07 PM,April,Saturday,DRUNK,319 N WALNUT ST; KILROYS SPORTS BAR,LB101,BPD,NO REPORT NEEDED
B16-14297,4/16/16,2:19 AM,April,Saturday,DRUNK,319 N WALNUT ST; KILROYS SPORTS BAR,LB101,BPD,REPORT NEEDED
B16-14373,4/16/16,12:36 PM,April,Saturday,DRUNK,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,NO REPORT NEEDED
B16-14468,4/16/16,9:32 PM,April,Saturday,DRUNK,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,REPORT NEEDED
B16-14286,4/16/16,1:25 AM,April,Saturday,DRUNK,501 S MULLER PKWY; APT 116,LB404,BPD,NO REPORT NEEDED
B16-14311,4/16/16,3:06 AM,April,Saturday,DRUNK,503 W KIRKWOOD AVE; CIRCLE K KIRKWOOD AND ROGERS,LB408,BPD,NO REPORT NEEDED
B16-14267,4/16/16,12:19 AM,April,Saturday,DRUNK,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,REPORT NEEDED
B16-14442,4/16/16,7:37 PM,April,Saturday,DRUNK,612 N WALNUT ST,LB213,BPD,NO REPORT NEEDED
B16-14316,4/16/16,3:20 AM,April,Saturday,DRUNK,N INDIANA AVE & E 7TH ST,LIU14,BPD,NO REPORT NEEDED
B16-14471,4/16/16,9:37 PM,April,Saturday,DRUNK,N LINCOLN ST & E 7TH ST,LB102,BPD,REPORT NEEDED
B16-14389,4/16/16,2:10 PM,April,Saturday,DRUNK,N WALNUT ST & E 10TH ST,LB102,BPD,NO REPORT NEEDED
B16-14293,4/16/16,2:05 AM,April,Saturday,DRUNK,N WALNUT ST & E STATE ROAD 45 46 BYPASS,LB512,BPD,NO REPORT NEEDED
B16-14467,4/16/16,9:32 PM,April,Saturday,DRUNK,S WALNUT ST & E HILLSIDE DR,LB421,BPD,NO REPORT NEEDED
B16-14401,4/16/16,3:21 PM,April,Saturday,NOISE,1003 N WOODBURN AVE,LB519,BPD,NO REPORT NEEDED
B16-14505,4/16/16,11:10 PM,April,Saturday,NOISE,104 E 16TH ST,LB213,BPD,NO REPORT NEEDED
B16-14282,4/16/16,12:47 AM,April,Saturday,NOISE,1115 E MILLER DR,LB316,BPD,NO REPORT NEEDED
B16-14465,4/16/16,8:48 PM,April,Saturday,NOISE,113 E 15TH ST,LB213,BPD,NO REPORT NEEDED
B16-14412,4/16/16,5:16 PM,April,Saturday,NOISE,113 E 15TH ST,LB213,BPD,NO REPORT NEEDED
B16-14407,4/16/16,4:20 PM,April,Saturday,NOISE,113 E 15TH ST,LB213,BPD,NO REPORT NEEDED
B16-14404,4/16/16,4:10 PM,April,Saturday,NOISE,1214 N WASHINGTON ST,LB213,BPD,NO REPORT NEEDED
B16-14428,4/16/16,6:19 PM,April,Saturday,NOISE,1313 W WOODHILL DR,LB413,BPD,NO REPORT NEEDED
B16-14429,4/16/16,6:19 PM,April,Saturday,NOISE,1400 S GRANT ST,LB314,BPD,NO REPORT NEEDED
B16-14490,4/16/16,10:17 PM,April,Saturday,NOISE,2036 N WALNUT ST,LB212,BPD,NO REPORT NEEDED
B16-14413,4/16/16,4:21 PM,April,Saturday,NOISE,211 E 15TH ST,LB213,BPD,NO REPORT NEEDED
B16-14269,4/16/16,12:06 AM,April,Saturday,NOISE,2304 S BRANDON CT,LB326,BPD,NO REPORT NEEDED
B16-14276,4/16/16,12:27 AM,April,Saturday,NOISE,2618 E 7TH ST,LB222,BPD,NO REPORT NEEDED
B16-14315,4/16/16,12:56 AM,April,Saturday,NOISE,2801 W HEARTWOOD CT,LB415,BPD,NO REPORT NEEDED
B16-14319,4/16/16,2:18 AM,April,Saturday,NOISE,3110 E STRATUM WAY,LB310,BPD,NO REPORT NEEDED
B16-14339,4/16/16,7:13 AM,April,Saturday,NOISE,313 E VARSITY LN; (TO THE LEFT OF THIS ADDRESS),LB212,BPD,NO REPORT NEEDED
B16-14504,4/16/16,11:39 PM,April,Saturday,NOISE,320 S DUNN ST; APT 109,LB104,BPD,NO REPORT NEEDED
B16-14302,4/16/16,2:19 AM,April,Saturday,NOISE,3849 S BAINBRIDGE DR,LB334,BPD,NO REPORT NEEDED
B16-14309,4/16/16,2:04 AM,April,Saturday,NOISE,405 E 17TH ST,LB212,BPD,NO REPORT NEEDED
B16-14304,4/16/16,2:02 AM,April,Saturday,NOISE,425 E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-14275,4/16/16,12:01 AM,April,Saturday,NOISE,4412 E ELOUISE AVE,LB219,BPD,NO REPORT NEEDED
B16-14280,4/16/16,12:33 AM,April,Saturday,NOISE,444 E 3RD ST,LB104,BPD,NO REPORT NEEDED
B16-14492,4/16/16,10:20 PM,April,Saturday,NOISE,500 E MELROSE AVE,LB315,BPD,NO REPORT NEEDED
B16-14387,4/16/16,1:57 PM,April,Saturday,NOISE,506 S MULLER PKWY,LB404,BPD,NO REPORT NEEDED
B16-14298,4/16/16,2:01 AM,April,Saturday,NOISE,510 S WOODLAWN AVE,LB302,BPD,NO REPORT NEEDED
B16-14279,4/16/16,12:32 AM,April,Saturday,NOISE,512 S MULLER PKWY,LB404,BPD,NO REPORT NEEDED
B16-14268,4/16/16,12:05 AM,April,Saturday,NOISE,518 E 1ST ST,LB301,BPD,NO REPORT NEEDED
B16-14324,4/16/16,3:24 AM,April,Saturday,NOISE,524 N COLLEGE AVE; APT 202,LB101,BPD,NO REPORT NEEDED
B16-14283,4/16/16,1:03 AM,April,Saturday,NOISE,525 S PATTERSON DR; BLDG 35,LB406,BPD,NO REPORT NEEDED
B16-14278,4/16/16,12:43 AM,April,Saturday,NOISE,526 E UNIVERSITY ST,LB301,BPD,NO REPORT NEEDED
B16-14446,4/16/16,7:45 PM,April,Saturday,NOISE,534 S WASHINGTON ST,LB301,BPD,NO REPORT NEEDED
B16-14332,4/16/16,3:42 AM,April,Saturday,NOISE,584 E GRAHAM PL,LB327,BPD,NO REPORT NEEDED
B16-14483,4/16/16,9:44 PM,April,Saturday,NOISE,600 E 1ST ST,LB302,BPD,NO REPORT NEEDED
B16-14493,4/16/16,10:52 PM,April,Saturday,NOISE,606 E UNIVERSITY ST,LB302,BPD,NO REPORT NEEDED
B16-14482,4/16/16,9:55 PM,April,Saturday,NOISE,606 E UNIVERSITY ST,LB302,BPD,NO REPORT NEEDED
B16-14277,4/16/16,12:30 AM,April,Saturday,NOISE,606 E UNIVERSITY ST,LB302,BPD,NO REPORT NEEDED
B16-14294,4/16/16,1:52 AM,April,Saturday,NOISE,612 S STATE ROAD 446,LB307,BPD,NO REPORT NEEDED
B16-14306,4/16/16,2:12 AM,April,Saturday,NOISE,711 N GRANDVIEW DR,LB220,BPD,NO REPORT NEEDED
B16-14477,4/16/16,9:34 PM,April,Saturday,NOISE,726 E UNIVERSITY ST,LB302,BPD,NO REPORT NEEDED
B16-14487,4/16/16,10:18 PM,April,Saturday,NOISE,801 W 11TH ST,LB518,BPD,NO REPORT NEEDED
B16-14400,4/16/16,3:14 PM,April,Saturday,NOISE,809 E 9TH ST,LB215,BPD,NO REPORT NEEDED
B16-14392,4/16/16,1:48 PM,April,Saturday,NOISE,E 2ND ST & S LINCOLN ST,LB301,BPD,NO REPORT NEEDED
B16-14351,4/16/16,9:40 AM,April,Saturday,VANDALISM IP,1415 W ILLINOIS CT,LB517,BPD,REPORT NEEDED
B16-14331,4/16/16,5:13 AM,April,Saturday,VANDALISM IP,1415 W ILLINOIS CT,LB517,BPD,REPORT NEEDED
B16-14417,4/16/16,5:27 PM,April,Saturday,VANDALISM IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-14475,4/16/16,9:45 PM,April,Saturday,VANDALISM IP,714 S FAIRVIEW ST; APT 4,LB409,BPD,NO REPORT NEEDED
B16-14421,4/16/16,5:26 PM,April,Saturday,VANDALISM IP,S PARK SQUARE DR & W WOODSIDE DR,LMS28,BPD,REPORT NEEDED
B16-14379,4/16/16,1:02 PM,April,Saturday,VANDALISM NP,227 E WINSLOW RD; APT 3,LB327,BPD,REPORT NEEDED
B16-14426,4/16/16,6:25 PM,April,Saturday,VANDALISM NP,530 W KIRKWOOD AVE; URBAN OUTFITTERS,LB520,BPD,NO REPORT NEEDED
B16-14513,4/17/16,12:37 AM,April,Sunday,ALCOHOL RELATED,110 S WASHINGTON ST,LB104,BPD,NO REPORT NEEDED
B16-14532,4/17/16,1:34 AM,April,Sunday,DISTURBANCE IP,2036 N WALNUT ST; KNIGHT'S LANDING APARTMENTS,LB212,BPD,NO REPORT NEEDED
B16-14554,4/17/16,3:02 AM,April,Sunday,DISTURBANCE IP,2110 N WALNUT ST; CIRCLE S NORTH WALNUT,LB212,BPD,NO REPORT NEEDED
B16-14542,4/17/16,2:13 AM,April,Sunday,DISTURBANCE IP,2667 E 7TH ST,LB221,BPD,NO REPORT NEEDED
B16-14640,4/17/16,5:34 PM,April,Sunday,DISTURBANCE IP,3100 S WALNUT STREET PIKE,LB336,BPD,REPORT NEEDED
B16-14606,4/17/16,12:47 PM,April,Sunday,DISTURBANCE IP,3100 S WALNUT STREET PIKE,LB336,BPD,REPORT NEEDED
B16-14570,4/17/16,4:23 AM,April,Sunday,DISTURBANCE IP,405 E 17TH ST; I BLDG,LB212,BPD,NO REPORT NEEDED
B16-14679,4/17/16,11:40 PM,April,Sunday,DISTURBANCE IP,411 S PARKWAY DR; APT 8,LB402,BPD,NO REPORT NEEDED
B16-14562,4/17/16,3:41 AM,April,Sunday,DISTURBANCE IP,527 E 3RD ST; CIRCLE K 3RD AND INDIANA,LB104,BPD,NO REPORT NEEDED
B16-14522,4/17/16,1:01 AM,April,Sunday,DISTURBANCE IP,612 S STATE ROAD 446; APT 35A,LB307,BPD,NO REPORT NEEDED
B16-14520,4/17/16,12:55 AM,April,Sunday,DISTURBANCE IP,930 S MAXWELL TER; MAXWELL TERRACE APARTMENTS,LB312,BPD,NO REPORT NEEDED
B16-14521,4/17/16,12:58 AM,April,Sunday,DISTURBANCE IP,N LINCOLN ST & E 17TH ST,LB212,BPD,NO REPORT NEEDED
B16-14584,4/17/16,9:12 AM,April,Sunday,DISTURBANCE IP,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-14548,4/17/16,2:38 AM,April,Sunday,DRUNK,1202 N LINCOLN ST; APT 3 LL DON HA,LB213,BPD,NO REPORT NEEDED
B16-14595,4/17/16,10:59 AM,April,Sunday,DRUNK,205 E KIRKWOOD AVE; FIRST CHRISTIAN CHURCH; STE 1,LB102,BPD,NO REPORT NEEDED
B16-14540,4/17/16,2:09 AM,April,Sunday,DRUNK,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,REPORT NEEDED
B16-14560,4/17/16,3:32 AM,April,Sunday,DRUNK,217 W 6TH ST,LB101,BPD,NO REPORT NEEDED
B16-14561,4/17/16,3:40 AM,April,Sunday,DRUNK,455 N COLLEGE AVE,LB101,BPD,NO REPORT NEEDED
B16-14575,4/17/16,5:01 AM,April,Sunday,DRUNK,N GRANT ST & E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-14573,4/17/16,4:54 AM,April,Sunday,DRUNK,S LINCOLN ST & E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-14559,4/17/16,2:38 AM,April,Sunday,NOISE,1150 S CLARIZZ BLVD; APT 311,LB310,BPD,NO REPORT NEEDED
B16-14681,4/17/16,11:35 PM,April,Sunday,NOISE,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT NEEDED
B16-14510,4/17/16,12:20 AM,April,Sunday,NOISE,120 S KINGSTON DR,LB221,BPD,NO REPORT NEEDED
B16-14506,4/17/16,12:03 AM,April,Sunday,NOISE,120 S KINGSTON DR; APT 52,LB221,BPD,NO REPORT NEEDED
B16-14566,4/17/16,2:23 AM,April,Sunday,NOISE,1575 S IRA ST,LB318,BPD,NO REPORT NEEDED
B16-14577,4/17/16,4:32 AM,April,Sunday,NOISE,1930 S OAKDALE DR,LB417,BPD,NO REPORT NEEDED
B16-14565,4/17/16,2:39 AM,April,Sunday,NOISE,1930 S OAKDALE DR,LB417,BPD,NO REPORT NEEDED
B16-14567,4/17/16,3:52 AM,April,Sunday,NOISE,200 E STATE ROAD 45 46 BYPASS; DAYS INN BLOOMINGTON,LB212,BPD,NO REPORT NEEDED
B16-14526,4/17/16,12:43 AM,April,Sunday,NOISE,2036 N WALNUT ST,LB212,BPD,NO REPORT NEEDED
B16-14576,4/17/16,4:38 AM,April,Sunday,NOISE,210 E 17TH ST,LB213,BPD,NO REPORT NEEDED
B16-14553,4/17/16,1:45 AM,April,Sunday,NOISE,221 E 10TH ST,LB213,BPD,NO REPORT NEEDED
B16-14530,4/17/16,1:00 AM,April,Sunday,NOISE,2612 E DEKIST ST,LB222,BPD,NO REPORT NEEDED
B16-14529,4/17/16,1:23 AM,April,Sunday,NOISE,302 W RILEY DR; APT I6,LB512,BPD,NO REPORT NEEDED
B16-14518,4/17/16,12:24 AM,April,Sunday,NOISE,305 E 17TH ST,LB212,BPD,NO REPORT NEEDED
B16-14673,4/17/16,10:56 PM,April,Sunday,NOISE,3100 S WALNUT STREET PIKE,LB336,BPD,NO REPORT NEEDED
B16-14525,4/17/16,12:38 AM,April,Sunday,NOISE,321 E 14TH ST; bldg a,LB213,BPD,NO REPORT NEEDED
B16-14524,4/17/16,12:57 AM,April,Sunday,NOISE,4506 E 3RD ST; CHAPMANS RESTAURANT AND BAR,LB307,BPD,NO REPORT NEEDED
B16-14619,4/17/16,2:29 PM,April,Sunday,NOISE,500 W NORTHLANE DR,LB513,BPD,NO REPORT NEEDED
B16-14536,4/17/16,1:16 AM,April,Sunday,NOISE,502 S WASHINGTON ST,LB301,BPD,NO REPORT NEEDED
B16-14514,4/17/16,12:01 AM,April,Sunday,NOISE,701 S GREENLEAF CT; APT E,LB415,BPD,NO REPORT NEEDED
B16-14527,4/17/16,1:14 AM,April,Sunday,NOISE,819 W 2ND ST,LB409,BPD,NO REPORT NEEDED
B16-14631,4/17/16,3:58 PM,April,Sunday,NOISE,908 S WASHINGTON ST,LB314,BPD,NO REPORT NEEDED
B16-14667,4/17/16,10:06 PM,April,Sunday,NOISE,E HILLSIDE DR & S DORCHESTER DR,LB312,BPD,NO REPORT NEEDED
B16-14557,4/17/16,3:05 AM,April,Sunday,NOISE,S MORNINGSIDE DR & E 3RD ST,LB220,BPD,NO REPORT NEEDED
B16-14604,4/17/16,12:19 PM,April,Sunday,PANHANDLING,S GRANT ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
