Incident,Date Reported,Time Reported,Month Reported,Day of Week,Nature,Incident address,Area,Agency,Clearance Code desc
B17-01772,1/16/2017,14:08:57,January,Monday,VANDALISM NP,302 S COLLEGE AVE; BLGTN/MOROE COUNTY CONVENTION CENTER,LB103,BPD,REPORT NEEDED
B17-01783,1/16/2017,16:46:55,January,Monday,VANDALISM IP,902 S MANOR RD,LB313,BPD,NO REPORT
B17-01788,1/16/2017,17:46:28,January,Monday,DRUNK,221 W 2ND ST; WENDYS SEMINARY SQUARE,LB410,BPD,NO REPORT
B17-01794,1/16/2017,18:09:41,January,Monday,DISTURBANCE IP,205 E KIRKWOOD AVE; FIRST CHRISTIAN CHURCH,LB102,BPD,NO REPORT
B17-01801,1/16/2017,19:17:17,January,Monday,PANHANDLING,2966 E 3RD ST; TARGET,LB305,BPD,NO REPORT
B17-01820,1/16/2017,22:06:10,January,Monday,NOISE,730 N WALNUT ST; APT 315,LB213,BPD,NO REPORT
B17-01821,1/16/2017,22:51:52,January,Monday,DRUNK,301 S WALNUT ST,LB104,BPD,REPORT NEEDED
B17-01827,1/16/2017,23:09:00,January,Monday,NOISE,345 S COLLEGE AVE; EIGHT MEDICAL; MIDTOWN LOFTS,LB103,BPD,NO REPORT
B17-01828,1/16/2017,23:30:16,January,Monday,DRUNK,2420 E 3RD ST; FIRST UNITED CHURCH,LB304,BPD,NO REPORT
B17-01842,1/17/2017,2:33:44,January,Tuesday,NOISE,726 E UNIVERSITY ST,LB302,BPD,NO REPORT
B17-01862,1/17/2017,10:25:48,January,Tuesday,DISTURBANCE IP,1493 W ALLEN ST,LB413,BPD,NO REPORT
B17-01901,1/17/2017,16:51:12,January,Tuesday,DISTURBANCE IP,3600 N PROW RD; BLOOMINGTON MEADOWS HOSPITAL,LB503,BPD,REPORT NEEDED
B17-01947,1/17/2017,22:47:25,January,Tuesday,NOISE,400 S VILLAGE CT,LB402,BPD,NO REPORT
B17-01950,1/17/2017,23:52:21,January,Tuesday,VANDALISM NP,1421 N WILLIS DR; CLASSIC BOWLING LANES,LB513,BPD,NO REPORT
B17-01951,1/17/2017,23:44:43,January,Tuesday,NOISE,347 E VARSITY LN,LB212,BPD,NO REPORT
B17-01956,1/18/2017,0:25:20,January,Wednesday,NOISE,1150 S CLARIZZ BLVD; APT B205,LB310,BPD,NO REPORT
B17-01962,1/18/2017,2:11:21,January,Wednesday,DRUNK,S COLLEGE AVE & W KIRKWOOD AVE,LB101,BPD,NO REPORT
B17-01964,1/18/2017,2:11:05,January,Wednesday,NOISE,406 E 6TH ST,LB102,BPD,NO REPORT
B17-01965,1/18/2017,2:37:17,January,Wednesday,DRUNK,303 E KIRKWOOD AVE,LB102,BPD,REPORT NEEDED
B17-01967,1/18/2017,3:45:43,January,Wednesday,DRUNK,118 N WALNUT ST; FRONT DOOR,LB102,BPD,NO REPORT
B17-01979,1/18/2017,9:29:15,January,Wednesday,VANDALISM NP,912 W SMITH AVE,LB409,BPD,REPORT NEEDED
B17-01987,1/18/2017,11:06:13,January,Wednesday,VANDALISM NP,710 N MORTON ST; PARK ON MORTON,LB519,BPD,REPORT NEEDED
B17-01991,1/18/2017,12:06:47,January,Wednesday,DISTURBANCE IP,520 S VILLAGE CT,LB402,BPD,NO REPORT
B17-02052,1/18/2017,20:07:03,January,Wednesday,NOISE,113 E 15TH ST,LB213,BPD,NO REPORT
B17-02061,1/18/2017,22:06:22,January,Wednesday,DRUNK,3300 W 3RD ST; ARBYS WEST; ARBY'S,LB524,BPD,NO REPORT
B17-02063,1/18/2017,22:13:43,January,Wednesday,NOISE,404 E VARSITY LN,LB212,BPD,NO REPORT
B17-02069,1/18/2017,22:10:19,January,Wednesday,NOISE,345 S COLLEGE AVE;  MIDTOWN LOFTS,LB103,BPD,NO REPORT
B17-02087,1/19/2017,1:14:27,January,Thursday,NOISE,2321 E WINDING BROOK CT,LB324,BPD,NO REPORT
B17-02091,1/19/2017,2:06:56,January,Thursday,DISTURBANCE IP,N WALNUT ST & E 7TH ST,LB102,BPD,NO REPORT
B17-02094,1/19/2017,2:53:35,January,Thursday,NOISE,2321 E WINDING BROOK CT,LB324,BPD,NO REPORT
B17-02116,1/19/2017,10:47:51,January,Thursday,DRUNK,303 E KIRKWOOD AVE,LB102,BPD,NO REPORT
B17-02117,1/19/2017,11:04:47,January,Thursday,DRUNK,302 S WALNUT ST; NAPA AUTO PARTS,LB103,BPD,NO REPORT
B17-02142,1/19/2017,14:32:35,January,Thursday,DISTURBANCE IP,S WALNUT ST & E 1ST ST,LB410,BPD,NO REPORT
B17-02157,1/19/2017,15:59:32,January,Thursday,DISTURBANCE IP,13TH & SUMMIT,LB517,BPD,NO REPORT
B17-02180,1/19/2017,19:17:34,January,Thursday,DRUNK,303 E KIRKWOOD AVE,LB102,BPD,REPORT NEEDED
B17-02196,1/19/2017,21:50:12,January,Thursday,NOISE,401 S WASHINGTON ST; ACROSS THE STREET,LB104,BPD,NO REPORT
B17-02198,1/19/2017,22:36:48,January,Thursday,DISTURBANCE IP,2500 S ROCKPORT RD; APT 1605,LB424,BPD,NO REPORT
B17-02199,1/19/2017,22:28:09,January,Thursday,NOISE,620 W KIRKWOOD AVE; JUANNITAS,LB520,BPD,NO REPORT
B17-02205,1/19/2017,23:45:45,January,Thursday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,REPORT NEEDED
B17-02207,1/20/2017,0:22:03,January,Friday,NOISE,605 E UNIVERSITY ST,LB302,BPD,NO REPORT
B17-02208,1/20/2017,0:36:18,January,Friday,NOISE,1150 S CLARIZZ BLVD; APT 205,LB310,BPD,NO REPORT
B17-02211,1/20/2017,1:38:18,January,Friday,DISTURBANCE IP,245 N COLLEGE AVE; ROOM 235 HILTON GARDENS INN BLOOMINGTON,LB101,BPD,REPORT NEEDED
B17-02213,1/20/2017,2:04:18,January,Friday,DISTURBANCE IP,892 E MILLER DR,LB316,BPD,NO REPORT
B17-02214,1/20/2017,1:46:05,January,Friday,NOISE,3438 E JOHN HINKLE PL,LB221,BPD,NO REPORT
B17-02216,1/20/2017,1:41:44,January,Friday,NOISE,605 E UNIVERSITY ST,LB302,BPD,NO REPORT
B17-02248,1/20/2017,11:46:41,January,Friday,DISTURBANCE IP,645 S ROGERS ST; CENTERSTONE EAST 1,LB409,BPD,NO REPORT
B17-02255,1/20/2017,13:02:01,January,Friday,DISTURBANCE IP,1705 S HUNTINGTON DR; APT 3,LB316,BPD,NO REPORT
B17-02276,1/20/2017,14:27:40,January,Friday,NOISE,N GRANT ST & E 6TH ST,LB102,BPD,NO REPORT
B17-02285,1/20/2017,15:24:12,January,Friday,PANHANDLING,S PATTERSON DR & W ALLEN ST,LB412,BPD,NO REPORT
B17-02297,1/20/2017,16:15:50,January,Friday,PANHANDLING,1870 S WALNUT ST; BIG RED LIQUORS S WALNUT ST,LB421,BPD,NO REPORT
B17-02300,1/20/2017,16:20:45,January,Friday,NOISE,302 N WASHINGTON ST; THE MANOR,LB102,BPD,NO REPORT
B17-02309,1/20/2017,17:55:49,January,Friday,VANDALISM NP,1873 S PECAN LN,LB417,BPD,NO REPORT
B17-02312,1/20/2017,18:04:03,January,Friday,DISTURBANCE IP,4425 E CAMBRIDGE CT,LB219,BPD,NO REPORT
B17-02315,1/20/2017,18:30:14,January,Friday,VANDALISM NP,200 N GATES DR; DOLLAR TREE WHITEHALL CROSSING,LB524,BPD,REPORT NEEDED
B17-02331,1/20/2017,19:40:04,January,Friday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; BLDG A 76,LB336,BPD,NO REPORT
B17-02344,1/20/2017,21:43:06,January,Friday,VANDALISM IP,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,NO REPORT
B17-02348,1/20/2017,21:51:59,January,Friday,DISTURBANCE IP,2700 E ROGERS RD; SHERWOOD OAKS CHRISTIAN CHURCH,LB331,BPD,NO REPORT
B17-02349,1/20/2017,20:41:03,January,Friday,NOISE,504 S MULLER PKWY; APT 433,LB404,BPD,NO REPORT
B17-02357,1/20/2017,22:33:44,January,Friday,DISTURBANCE IP,302 E 6TH ST,LB102,BPD,NO REPORT
B17-02360,1/20/2017,22:25:58,January,Friday,VANDALISM NP,108 W KIRKWOOD AVE; MAIN SOURCE BANK,LB101,BPD,REPORT NEEDED
B17-02361,1/20/2017,22:41:32,January,Friday,DISTURBANCE IP,409 W 2ND ST,LB409,BPD,NO REPORT
B17-02365,1/20/2017,22:50:21,January,Friday,NOISE,703 W GOURLEY PIKE; APT 13,LB513,BPD,NO REPORT
B17-02370,1/21/2017,0:11:37,January,Saturday,DISTURBANCE IP,2611 N WALNUT ST; CAMPUS EDGE APARTMENTS;APT 12,LB511,BPD,NO REPORT
B17-02372,1/20/2017,21:12:12,January,Friday,VANDALISM NP,S WALNUT ST & E KIRKWOOD AVE; 7TH & WALNUT,,BPD,NO REPORT
B17-02373,1/21/2017,0:09:05,January,Saturday,NOISE,815 N COLLEGE AVE,LB519,BPD,NO REPORT
B17-02374,1/21/2017,0:19:48,January,Saturday,NOISE,412 N ROOSEVELT ST,LB222,BPD,NO REPORT
B17-02376,1/21/2017,0:28:33,January,Saturday,NOISE,1426 N KINSER PIKE,LB512,BPD,NO REPORT
B17-02377,1/21/2017,0:26:01,January,Saturday,NOISE,1003 S ROGERS ST,LB412,BPD,NO REPORT
B17-02379,1/21/2017,0:47:02,January,Saturday,DISTURBANCE IP,2611 N WALNUT ST; CAMPUS EDGE APARTMENTS; APT 12,LB511,BPD,NO REPORT
B17-02380,1/21/2017,0:58:34,January,Saturday,VANDALISM NP,101 W KIRKWOOD AVE; ANDREW DAVIS CLOTHING STORE,LB103,BPD,REPORT NEEDED
B17-02381,1/21/2017,1:00:26,January,Saturday,VANDALISM NP,S WASHINGTON ST & E KIRKWOOD AVE,LB102,BPD,REPORT NEEDED
B17-02382,1/21/2017,1:02:22,January,Saturday,VANDALISM NP,210 E KIRKWOOD AVE; OLD NATIONAL BANK,LB104,BPD,REPORT NEEDED
B17-02384,1/21/2017,1:07:05,January,Saturday,DISTURBANCE IP,2407 E 7TH ST,LB222,BPD,NO REPORT
B17-02385,1/21/2017,1:12:21,January,Saturday,NOISE,700 E 9TH ST,LB215,BPD,NO REPORT
B17-02388,1/21/2017,1:46:30,January,Saturday,VANDALISM NP,420 N WALNUT ST,LB102,BPD,REPORT NEEDED
B17-02389,1/21/2017,1:03:29,January,Saturday,NOISE,405 S RONSON ST;APT 42101,LB406,BPD,NO REPORT
B17-02393,1/21/2017,2:42:31,January,Saturday,DISTURBANCE IP,301 E 20TH ST; APT 1,LB212,BPD,NO REPORT
B17-02411,1/21/2017,9:56:56,January,Saturday,DISTURBANCE IP,1600 N WILLIS DR; LOT 192,LB513,BPD,NO REPORT
B17-02416,1/21/2017,11:19:25,January,Saturday,DRUNK,118 E 7TH ST,LB102,BPD,NO REPORT
B17-02420,1/21/2017,11:03:24,January,Saturday,NOISE,645 N COLLEGE AVE,LB519,BPD,NO REPORT
B17-02431,1/21/2017,13:45:12,January,Saturday,DISTURBANCE IP,1400 W RCA PARK DR; RCA PARK PLAYGROUND; RCA COMMUNITY PARK,LB419,BPD,NO REPORT
B17-02435,1/21/2017,14:13:21,January,Saturday,NOISE,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT
B17-02444,1/21/2017,14:24:29,January,Saturday,NOISE,302 N WASHINGTON ST,LB102,BPD,NO REPORT
B17-02447,1/21/2017,15:29:00,January,Saturday,VANDALISM IP,W 11TH ST & N COLLEGE AVE,LB519,BPD,NO REPORT
B17-02451,1/21/2017,15:51:41,January,Saturday,DISTURBANCE IP,2327 S ROCKPORT RD,LB423,BPD,NO REPORT
B17-02454,1/21/2017,15:52:37,January,Saturday,NOISE,302 N WASHINGTON ST,LB102,BPD,NO REPORT
B17-02466,1/21/2017,18:06:21,January,Saturday,DISTURBANCE IP,426 E MELROSE AVE,LB315,BPD,NO REPORT
B17-02486,1/21/2017,21:07:06,January,Saturday,DISTURBANCE IP,435 S WALNUT ST; BIG RED LIQUORS E 2ND ST,LB104,BPD,NO REPORT
B17-02491,1/21/2017,21:45:55,January,Saturday,DRUNK,318 S WASHINGTON ST,LB104,BPD,NO REPORT
B17-02504,1/21/2017,22:34:02,January,Saturday,NOISE,204 E 16TH ST,LB213,BPD,NO REPORT
B17-02509,1/21/2017,23:18:32,January,Saturday,NOISE,534 S RONSON ST; apt 4209,LB406,BPD,NO REPORT
B17-02516,1/21/2017,23:45:42,January,Saturday,NOISE,S BALLANTINE RD & E ATWATER AVE,LIU14,BPD,NO REPORT
B17-02518,1/21/2017,23:44:13,January,Saturday,NOISE,612 S STATE ROAD 446; APT 34A,LB307,BPD,NO REPORT
B17-02519,1/22/2017,0:09:55,January,Sunday,DISTURBANCE IP,212 N MORTON ST,LB101,BPD,NO REPORT
B17-02521,1/22/2017,0:25:52,January,Sunday,DRUNK,319 N WALNUT ST; KILROYS SPORTS BAR,LB101,BPD,NO REPORT
B17-02524,1/22/2017,0:18:55,January,Sunday,NOISE,1003 N ILLINOIS ST,LB517,BPD,NO REPORT
B17-02527,1/22/2017,0:40:54,January,Sunday,NOISE,500 S MULLER PKWY; APT 231 VILLAGE AT MULLER PARK,LB404,BPD,NO REPORT
B17-02530,1/22/2017,1:06:37,January,Sunday,DISTURBANCE IP,605 E UNIVERSITY ST,LB302,BPD,NO REPORT
B17-02536,1/22/2017,1:27:45,January,Sunday,VANDALISM IP,3100 S WALNUT STREET PIKE; BLDG A,LB336,BPD,REPORT NEEDED
B17-02538,1/22/2017,1:26:38,January,Sunday,NOISE,515 E 11TH ST; WOODSTONE APARTMENTS,LB214,BPD,NO REPORT
B17-02539,1/22/2017,1:30:18,January,Sunday,NOISE,504 S MULLER PKWY ; APT 602,LB404,BPD,NO REPORT
B17-02543,1/22/2017,1:53:41,January,Sunday,NOISE,1800 N WALNUT ST; MOTEL 6; ROOM 106,LB212,BPD,NO REPORT
B17-02544,1/22/2017,2:21:03,January,Sunday,DRUNK,310 W 12TH ST,LB519,BPD,REPORT NEEDED
B17-02548,1/22/2017,2:47:33,January,Sunday,DRUNK,221 E KIRKWOOD AVE,LB102,BPD,NO REPORT
B17-02549,1/22/2017,2:48:43,January,Sunday,NOISE,1012 S LINCOLN ST,LB314,BPD,NO REPORT
B17-02550,1/22/2017,2:52:25,January,Sunday,DRUNK,517 E KIRKWOOD AVE; VON LEE THEATRE,LB102,BPD,NO REPORT
B17-02554,1/22/2017,3:03:49,January,Sunday,DISTURBANCE IP,211 N WALNUT ST  STE 1; BTOWN DINER,LB101,BPD,NO REPORT
B17-02556,1/22/2017,3:10:30,January,Sunday,DISTURBANCE IP,222 N WALNUT ST; ROCKITS FAMOUS PIZZA,LB102,BPD,NO REPORT
B17-02564,1/22/2017,3:34:44,January,Sunday,DRUNK,422 E KIRKWOOD AVE  APT; THE RUBICON,LB104,BPD,NO REPORT
B17-02574,1/22/2017,4:43:17,January,Sunday,DISTURBANCE IP,456 E VARSITY LN,LB212,BPD,NO REPORT
B17-02578,1/22/2017,6:42:21,January,Sunday,DRUNK,315 W 15TH ST,LB519,BPD,NO REPORT
B17-02585,1/22/2017,9:30:45,January,Sunday,VANDALISM NP,2407 E 7TH ST,LB222,BPD,REPORT NEEDED
B17-02591,1/22/2017,12:07:20,January,Sunday,VANDALISM NP,2500 S ROCKPORT RD; APT 2702,LB424,BPD,REPORT NEEDED
B17-02596,1/22/2017,13:29:03,January,Sunday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,NO REPORT
B17-02598,1/22/2017,13:27:14,January,Sunday,NOISE,811 S GREENLEAF CT; APT A,LB415,BPD,NO REPORT
B17-02599,1/22/2017,13:06:47,January,Sunday,VANDALISM NP,107 W 9TH ST,LB101,BPD,REPORT NEEDED
B17-02616,1/22/2017,16:30:32,January,Sunday,VANDALISM NP,702 N COLLEGE AVE; THE LOFTS,LB519,BPD,REPORT NEEDED
B17-02629,1/22/2017,19:57:18,January,Sunday,DISTURBANCE IP,215 S WESTPLEX AVE; WHEELER MISSION MINISTRIES,LB521,BPD,REPORT NEEDED
B17-02639,1/22/2017,21:54:27,January,Sunday,DISTURBANCE IP,204 E 4TH ST,LB104,BPD,NO REPORT
B17-02645,1/22/2017,22:04:18,January,Sunday,NOISE,3209 E 10TH ST; APT Y-7,LB216,BPD,NO REPORT
B17-02653,1/22/2017,22:53:59,January,Sunday,NOISE,216 N WALNUT ST; BLUE BIRD,LB102,BPD,NO REPORT
B17-02661,1/22/2017,23:10:31,January,Sunday,NOISE,726 E UNIVERSITY ST,LB302,BPD,NO REPORT
B17-02691,1/23/2017,10:27:21,January,Monday,VANDALISM NP,315 E 7TH ST; BRUMMETT HOUSE,LB102,BPD,REPORT NEEDED
B17-02694,1/23/2017,10:56:32,January,Monday,VANDALISM NP,603 S LINCOLN ST,LB301,BPD,REPORT NEEDED
B17-02695,1/23/2017,10:44:15,January,Monday,VANDALISM NP,420 N WALNUT ST,LB102,BPD,REPORT NEEDED
B17-02706,1/23/2017,14:29:21,January,Monday,PANHANDLING,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,NO REPORT
B17-02723,1/23/2017,16:49:51,January,Monday,PANHANDLING,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,NO REPORT
B17-02728,1/23/2017,17:34:41,January,Monday,DISTURBANCE IP,601 N COLLEGE AVE,LB519,BPD,NO REPORT
B17-02748,1/23/2017,20:48:59,January,Monday,DRUNK,301 S WALNUT ST; BT TERMINAL,LB104,BPD,NO REPORT
B17-02764,1/23/2017,22:16:34,January,Monday,NOISE,726 E UNIVERSITY ST,LB302,BPD,NO REPORT
B17-02770,1/23/2017,23:29:59,January,Monday,NOISE,701 N WALNUT ST; APT 308 MANORS AT THE CREST,LB519,BPD,NO REPORT
B17-02774,1/23/2017,23:47:14,January,Monday,NOISE,1150 S CLARIZZ BLVD; APT B 205,LB310,BPD,NO REPORT
B17-02790,1/24/2017,5:20:55,January,Tuesday,NOISE,3100 S WALNUT STREET PIKE,LB336,BPD,NO REPORT
B17-02804,1/24/2017,11:00:30,January,Tuesday,DRUNK,515 W 6TH ST,LB520,BPD,NO REPORT
B17-02841,1/24/2017,16:25:28,January,Tuesday,PANHANDLING,N WALNUT ST & E STATE ROAD 45 46 BYPASS,LB512,BPD,NO REPORT
B17-02859,1/24/2017,19:02:44,January,Tuesday,VANDALISM NP,2600 S BRYAN ST,LB423,BPD,NO REPORT
B17-02863,1/24/2017,18:41:51,January,Tuesday,NOISE,533 S VILLAGE CT,LB402,BPD,NO REPORT
B17-02896,1/24/2017,23:46:10,January,Tuesday,NOISE,2623 E 2ND ST; COLLEGE MALL APARTMENTS 2; APT 11,LB304,BPD,NO REPORT
B17-02898,1/24/2017,23:59:45,January,Tuesday,DISTURBANCE NP,3425 E JOHN HINKLE PL,LB221,BPD,NO REPORT
B17-02903,1/25/2017,1:04:43,January,Wednesday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT
B17-02906,1/25/2017,1:11:50,January,Wednesday,NOISE,1738 N LINCOLN ST,LB212,BPD,NO REPORT
B17-02957,1/25/2017,16:21:21,January,Wednesday,DISTURBANCE IP,N LINCOLN ST & E 6TH ST,LB102,BPD,NO REPORT
B17-02972,1/25/2017,17:40:16,January,Wednesday,DISTURBANCE IP,2498 S WALNUT ST; BURGER KING SOUTH,LB422,BPD,REPORT NEEDED
B17-03002,1/25/2017,20:32:45,January,Wednesday,NOISE,1890 S WALNUT ST; APT 11,LB421,BPD,NO REPORT
B17-03011,1/25/2017,22:42:17,January,Wednesday,NOISE,1500 W KIRKWOOD AVE,LB521,BPD,NO REPORT
B17-03013,1/25/2017,22:55:25,January,Wednesday,NOISE,S HIGH ST & E 2ND ST,LB304,BPD,NO REPORT
B17-03030,1/26/2017,2:22:16,January,Thursday,DISTURBANCE IP,1223 W 7TH ST,LB521,BPD,REPORT NEEDED
B17-03032,1/26/2017,2:35:30,January,Thursday,DISTURBANCE IP,S SWAIN AVE & E HUNTER AVE,LB303,BPD,NO REPORT
B17-03033,1/26/2017,2:39:21,January,Thursday,NOISE,120 S KINGSTON DR; APT B19,LB221,BPD,NO REPORT
B17-03034,1/26/2017,3:02:15,January,Thursday,DISTURBANCE IP,1409 E 2ND ST,LB303,BPD,NO REPORT
B17-03040,1/26/2017,4:44:54,January,Thursday,DISTURBANCE IP,N COLLEGE AVE & W 9TH ST,LB101,BPD,NO REPORT
B17-03058,1/26/2017,11:09:53,January,Thursday,PANHANDLING,500 S WALNUT ST,LB410,BPD,NO REPORT
B17-03062,1/26/2017,12:58:48,January,Thursday,VANDALISM NP,2500 S ROCKPORT RD; APT 2403,LB424,BPD,REPORT NEEDED
B17-03064,1/26/2017,13:21:38,January,Thursday,DISTURBANCE IP,301 S WALNUT ST,LB104,BPD,NO REPORT
B17-03120,1/26/2017,19:48:38,January,Thursday,DISTURBANCE IP,412 E 6TH ST; RUNCIBLE SPOON,LB102,BPD,NO REPORT
B17-03147,1/26/2017,23:06:04,January,Thursday,NOISE,345 S COLLEGE AVE; EIGHT MEDICAL; MIDTOWN LOFTS; APT 401,LB103,BPD,NO REPORT
B17-03160,1/27/2017,0:38:43,January,Friday,DISTURBANCE IP,428 E 2ND ST,LB301,BPD,NO REPORT
B17-03164,1/27/2017,1:24:19,January,Friday,ALCOHOL RELATED,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT
B17-03167,1/27/2017,1:42:00,January,Friday,NOISE,417 S WALNUT ST,LB104,BPD,NO REPORT
B17-03169,1/27/2017,2:12:11,January,Friday,DRUNK,105 W 7TH ST; VIDEO SALOON,LB101,BPD,NO REPORT
B17-03171,1/27/2017,2:28:28,January,Friday,NOISE,1360 N ARLINGTON PARK DR,LB514,BPD,NO REPORT
B17-03174,1/27/2017,3:14:20,January,Friday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT
B17-03175,1/27/2017,3:04:44,January,Friday,NOISE,310 W 12TH ST; APT 2309;PARK ON MORTON,LB519,BPD,NO REPORT
B17-03178,1/27/2017,3:29:13,January,Friday,DISTURBANCE IP,222 N WALNUT ST; ROCKITS FAMOUS PIZZA,LB102,BPD,NO REPORT
B17-03179,1/27/2017,3:15:23,January,Friday,DRUNK,316 E 8TH ST,LB102,BPD,NO REPORT
B17-03181,1/27/2017,3:40:44,January,Friday,DISTURBANCE IP,2819 E 3RD ST; MCDONALDS EAST,LB221,BPD,NO REPORT
B17-03184,1/27/2017,4:27:42,January,Friday,NOISE,106 E KIRKWOOD AVE; APT 203,LB104,BPD,NO REPORT
B17-03228,1/27/2017,15:01:01,January,Friday,DISTURBANCE IP,2420 S WINSLOW CT,LB326,BPD,NO REPORT
B17-03234,1/27/2017,15:34:58,January,Friday,PANHANDLING,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,REPORT NEEDED
B17-03240,1/27/2017,16:11:32,January,Friday,DISTURBANCE IP,923 N MONROE ST,LB517,BPD,NO REPORT
B17-03249,1/27/2017,16:58:07,January,Friday,ALCOHOL RELATED,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT
B17-03275,1/27/2017,17:41:43,January,Friday,VANDALISM NP,512 W 13TH ST,LB518,BPD,REPORT NEEDED
B17-03281,1/27/2017,19:15:02,January,Friday,NOISE,345 S COLLEGE AVE; EIGHT MEDICAL; MIDTOWN LOFTS; APT 307,LB103,BPD,NO REPORT
B17-03288,1/27/2017,20:09:19,January,Friday,DISTURBANCE IP,1100 W KIRKWOOD AVE,LB521,BPD,NO REPORT
B17-03307,1/27/2017,23:18:08,January,Friday,ALCOHOL RELATED,1605 N DUNN ST,LB212,BPD,NO REPORT
B17-03342,1/28/2017,2:02:08,January,Saturday,DISTURBANCE IP,205 E KIRKWOOD AVE; FIRST CHRISTIAN CHURCH,LB102,BPD,NO REPORT
B17-03348,1/28/2017,2:52:39,January,Saturday,DRUNK,S HIGH ST & E 2ND ST,LB304,BPD,REPORT NEEDED
B17-03351,1/28/2017,3:25:40,January,Saturday,DISTURBANCE IP,2539 E EASTGATE LN; APT 401,LB222,BPD,REPORT NEEDED
B17-03354,1/28/2017,4:39:36,January,Saturday,NOISE,630 N MORTON ST,LB519,BPD,NO REPORT
B17-03362,1/28/2017,9:22:18,January,Saturday,DISTURBANCE IP,2412 S BRITTANY LN,LB326,BPD,NO REPORT
B17-03366,1/28/2017,10:10:25,January,Saturday,VANDALISM NP,613 S HENDERSON ST,LB302,BPD,REPORT NEEDED
B17-03373,1/28/2017,11:47:19,January,Saturday,PANHANDLING,3233 W 3RD ST; BOB EVANS,LB403,BPD,NO REPORT
B17-03378,1/28/2017,13:32:58,January,Saturday,DISTURBANCE IP,404 N HOPEWELL ST,LB521,BPD,REPORT NEEDED
B17-03395,1/28/2017,14:40:37,January,Saturday,VANDALISM NP,615 W 15TH ST; APT 3,LB518,BPD,REPORT NEEDED
B17-03434,1/28/2017,22:55:23,January,Saturday,NOISE,2511 E 2ND ST; APT 6 AMBASSADOR APARTMENTS,LB304,BPD,NO REPORT
B17-03447,1/29/2017,0:24:36,January,Sunday,DRUNK,1424 N JACKSON ST; JACKSON HEIGHTS APARTMENTS,LB513,BPD,NO REPORT
B17-03449,1/29/2017,0:04:36,January,Sunday,NOISE,720 S COLLEGE MALL RD,LB305,BPD,NO REPORT
B17-03451,1/29/2017,1:07:48,January,Sunday,DISTURBANCE IP,455 N COLLEGE AVE,LB101,BPD,NO REPORT
B17-03455,1/29/2017,1:37:48,January,Sunday,VANDALISM NP,3241 N VALLEYVIEW DR,LB507,BPD,NO REPORT
B17-03457,1/29/2017,1:58:06,January,Sunday,NOISE,2901 W JULIES WAY; APT D,LB415,BPD,NO REPORT
B17-03458,1/29/2017,2:16:30,January,Sunday,NOISE,418 E 17TH ST; STADIUMVIEW APARTMENTS,LB213,BPD,NO REPORT
B17-03460,1/29/2017,2:53:34,January,Sunday,DRUNK,222 N WALNUT ST; ROCKITS FAMOUS PIZZA,LB102,BPD,REPORT NEEDED
B17-03463,1/29/2017,3:03:39,January,Sunday,DISTURBANCE IP,321 E 14TH ST; APT E4,LB213,BPD,REPORT NEEDED
B17-03464,1/29/2017,3:10:38,January,Sunday,DISTURBANCE IP,418 N WASHINGTON ST,LB102,BPD,REPORT NEEDED
B17-03466,1/29/2017,3:04:35,January,Sunday,NOISE,914 N JACKSON ST,LB518,BPD,NO REPORT
B17-03467,1/29/2017,3:36:09,January,Sunday,DRUNK,527 N WALNUT ST; DOMINOS PIZZA NORTH,LB101,BPD,NO REPORT
B17-03475,1/29/2017,8:23:36,January,Sunday,DRUNK,118 E 7TH ST,LB102,BPD,NO REPORT
B17-03494,1/29/2017,14:09:27,January,Sunday,VANDALISM NP,2518 E 7TH ST,LB222,BPD,REPORT NEEDED
B17-03503,1/29/2017,14:52:00,January,Sunday,VANDALISM NP,2861 S WALNUT STREET PIKE,LB329,BPD,REPORT NEEDED
B17-03518,1/29/2017,20:24:24,January,Sunday,DISTURBANCE IP,3210 E JOHN HINKLE PL,LB221,BPD,NO REPORT
B17-03521,1/29/2017,20:29:49,January,Sunday,NOISE,2307 E 2ND ST; BART VILLA APARTMENTS 4; APT B5,LB304,BPD,NO REPORT
B17-03524,1/29/2017,21:24:48,January,Sunday,NOISE,1223 W 11TH ST; APT A,LB517,BPD,NO REPORT
B17-03534,1/29/2017,23:32:54,January,Sunday,NOISE,1610 S DORCHESTER DR; BUILDING G APT 3,LB317,BPD,NO REPORT
