Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurrence,Reporting District,Agency,Report/No Report
B16-35219,9/3/16,10:38 PM,September,Saturday,DISTURBANCE IP,3311 S ACADIA CT,LB329,BPD,NO REPORT NEEDED
B16-35199,9/3/16,8:49 PM,September,Saturday,DISTURBANCE IP,1213 W 12TH ST,LB517,BPD,NO REPORT NEEDED
B16-35160,9/3/16,3:44 PM,September,Saturday,DISTURBANCE IP,2615 S ROCKPORT RD,LB423,BPD,NO REPORT NEEDED
B16-35139,9/3/16,12:13 PM,September,Saturday,DISTURBANCE IP,3750 W 3RD ST; BURGER KING WEST,LB524,BPD,NO REPORT NEEDED
B16-35138,9/3/16,12:02 PM,September,Saturday,DISTURBANCE IP,2382 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-35136,9/3/16,11:56 AM,September,Saturday,DISTURBANCE IP,1309 W 12TH ST,LB517,BPD,NO REPORT NEEDED
B16-35095,9/3/16,3:24 AM,September,Saturday,DISTURBANCE IP,1050 W 14TH ST,LB518,BPD,NO REPORT NEEDED
B16-35092,9/3/16,3:05 AM,September,Saturday,DISTURBANCE IP,1741 N WASHINGTON ST; HAMPTONS LUXURY HOMES,LB212,BPD,NO REPORT NEEDED
B16-35082,9/3/16,1:54 AM,September,Saturday,DISTURBANCE IP,N MADISON ST & W 17TH ST,LB519,BPD,NO REPORT NEEDED
B16-35062,9/3/16,12:18 AM,September,Saturday,DISTURBANCE IP,205 E 20TH ST; HOLIDAY HOUSE APARTMENTS,LB212,BPD,NO REPORT NEEDED
B16-35046,9/2/16,10:57 PM,September,Friday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT B147,LB336,BPD,NO REPORT NEEDED
B16-34991,9/2/16,4:50 PM,September,Friday,DISTURBANCE IP,S WALNUT ST & E 2ND ST,LB103,BPD,NO REPORT NEEDED
B16-34903,9/2/16,3:02 AM,September,Friday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-34897,9/2/16,1:04 AM,September,Friday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6,LB212,BPD,NO REPORT NEEDED
B16-34879,9/1/16,11:38 PM,September,Thursday,DISTURBANCE IP,2393 S WORTHINGTON LN,LB326,BPD,NO REPORT NEEDED
B16-34865,9/1/16,9:48 PM,September,Thursday,DISTURBANCE IP,525 S VILLAGE CT,LB402,BPD,NO REPORT NEEDED
B16-34859,9/1/16,8:51 PM,September,Thursday,DISTURBANCE IP,310 E 20TH ST; STADIUM VIEW II APARTMENTS,LB212,BPD,NO REPORT NEEDED
B16-34832,9/1/16,5:20 PM,September,Thursday,DISTURBANCE IP,2500 S ROCKPORT RD,LB424,BPD,NO REPORT NEEDED
B16-34831,9/1/16,5:14 PM,September,Thursday,DISTURBANCE IP,919 S ROGERS ST; FRIENDS PLACE,LB412,BPD,NO REPORT NEEDED
B16-34803,9/1/16,2:35 PM,September,Thursday,DISTURBANCE IP,1300 N WALNUT ST; APT 63,LB213,BPD,REPORT NEEDED
B16-34789,9/1/16,12:29 PM,September,Thursday,DISTURBANCE IP,205 S WALNUT ST; suite 21,LB104,BPD,NO REPORT NEEDED
B16-34765,9/1/16,7:12 AM,September,Thursday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6,LB212,BPD,REPORT NEEDED
B16-34725,8/31/16,10:35 PM,August,Wednesday,DISTURBANCE IP,S ROGERS ST & W KIRKWOOD AVE,LB520,BPD,NO REPORT NEEDED
B16-34662,8/31/16,2:32 PM,August,Wednesday,DISTURBANCE IP,1958 S WALNUT ST; AQUA PRO POOL AND SPA,LB421,BPD,NO REPORT NEEDED
B16-34648,8/31/16,1:27 PM,August,Wednesday,DISTURBANCE IP,427 E KIRKWOOD AVE; THE BOUTIQUE ON KIRKWOOD,LB102,BPD,NO REPORT NEEDED
B16-34595,8/31/16,12:56 AM,August,Wednesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; B147,LB336,BPD,NO REPORT NEEDED
B16-34522,8/30/16,3:05 PM,August,Tuesday,DISTURBANCE IP,3112 E BRAESIDE DR; CROSSING AT PETE ELLIS,LB221,BPD,NO REPORT NEEDED
B16-34501,8/30/16,1:28 PM,August,Tuesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; B102,LB336,BPD,NO REPORT NEEDED
B16-34495,8/30/16,12:16 PM,August,Tuesday,DISTURBANCE IP,807 S MADISON ST,LB409,BPD,NO REPORT NEEDED
B16-34482,8/30/16,11:12 AM,August,Tuesday,DISTURBANCE IP,4305 E 3RD ST;KIRBY,LB219,BPD,NO REPORT NEEDED
B16-34477,8/30/16,10:48 AM,August,Tuesday,DISTURBANCE IP,1709 W 8TH ST; VALHALLA MOBILE MANOR; LOT 37,LB521,BPD,NO REPORT NEEDED
B16-34413,8/29/16,10:33 PM,August,Monday,DISTURBANCE IP,1600 N WILLIS DR; LOT 42,LB513,BPD,NO REPORT NEEDED
B16-34402,8/29/16,9:29 PM,August,Monday,DISTURBANCE IP,S ROGERS ST & W WILSON ST,LB412,BPD,NO REPORT NEEDED
B16-34399,8/29/16,9:14 PM,August,Monday,DISTURBANCE IP,221 W 2ND ST; WENDYS SEMINARY SQUARE,LB410,BPD,NO REPORT NEEDED
B16-34387,8/29/16,7:35 PM,August,Monday,DISTURBANCE IP,1408 W ILLINOIS CT,LB517,BPD,NO REPORT NEEDED
B16-34319,8/29/16,12:30 PM,August,Monday,DISTURBANCE IP,1414 W 12TH ST,LB517,BPD,NO REPORT NEEDED
B16-34259,8/29/16,2:32 AM,August,Monday,DISTURBANCE IP,317 E WINSLOW RD; AVERS PIZZA SOUTH,LB326,BPD,NO REPORT NEEDED
B16-34250,8/29/16,12:51 AM,August,Monday,DISTURBANCE IP,719 E SHERWOOD HILLS DR,LB329,BPD,NO REPORT NEEDED
B16-34235,8/28/16,11:24 PM,August,Sunday,DISTURBANCE IP,309 N WALNUT ST; TACO BELL NORTH,LB101,BPD,NO REPORT NEEDED
B16-34227,8/28/16,10:01 PM,August,Sunday,DISTURBANCE IP,1122 W 11TH ST; OUR WAY C STORE,LB517,BPD,REPORT NEEDED
B16-34215,8/28/16,7:29 PM,August,Sunday,DISTURBANCE IP,1122 W 11TH ST; OUR WAY C STORE; OUR WAY C STORE,LB517,BPD,NO REPORT NEEDED
B16-34197,8/28/16,4:37 PM,August,Sunday,DISTURBANCE IP,2036 N WALNUT ST,LB212,BPD,NO REPORT NEEDED
B16-34196,8/28/16,4:34 PM,August,Sunday,DISTURBANCE IP,W 10TH ST & N ADAMS ST,LB521,BPD,NO REPORT NEEDED
B16-34189,8/28/16,3:48 PM,August,Sunday,DISTURBANCE IP,4315 E WEYMOUTH LN,LB218,BPD,NO REPORT NEEDED
B16-34157,8/28/16,1:15 PM,August,Sunday,DISTURBANCE IP,405 W HILLSIDE DR,LB412,BPD,REPORT NEEDED
B16-34149,8/28/16,11:49 AM,August,Sunday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-34147,8/28/16,11:05 AM,August,Sunday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-34090,8/27/16,11:32 PM,August,Saturday,DISTURBANCE IP,101 N COLLEGE AVE; THE TAP,LB101,BPD,NO REPORT NEEDED
B16-34067,8/27/16,8:43 PM,August,Saturday,DISTURBANCE IP,2467 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-34020,8/27/16,3:37 PM,August,Saturday,DISTURBANCE IP,2467 S WINSLOW CT,LB326,BPD,REPORT NEEDED
B16-34015,8/27/16,3:12 PM,August,Saturday,DISTURBANCE IP,1414 W 12TH ST,LB517,BPD,NO REPORT NEEDED
B16-34011,8/27/16,2:52 PM,August,Saturday,DISTURBANCE IP,1414 W 12TH ST,LB517,BPD,NO REPORT NEEDED
B16-33967,8/27/16,9:30 AM,August,Saturday,DISTURBANCE IP,621 W 17TH ST; 17TH STREET COIN LAUNDRY,LB518,BPD,NO REPORT NEEDED
B16-33953,8/27/16,5:47 AM,August,Saturday,DISTURBANCE IP,1012 N LINDBERGH DR,LB517,BPD,NO REPORT NEEDED
B16-33945,8/27/16,3:19 AM,August,Saturday,DISTURBANCE IP,N WALNUT ST & E 6TH ST,LB101,BPD,NO REPORT NEEDED
B16-33943,8/27/16,2:49 AM,August,Saturday,DISTURBANCE IP,308 W RILEY DR,LB512,BPD,NO REPORT NEEDED
B16-33913,8/26/16,11:28 PM,August,Friday,DISTURBANCE IP,430 E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-33908,8/26/16,10:50 PM,August,Friday,DISTURBANCE IP,222 N WALNUT ST; ROCKITS FAMOUS PIZZA,LB102,BPD,NO REPORT NEEDED
B16-33882,8/26/16,6:41 PM,August,Friday,DISTURBANCE IP,1420 N ARLINGTON PARK DR,LB514,BPD,NO REPORT NEEDED
B16-33772,8/26/16,2:52 AM,August,Friday,DISTURBANCE IP,601 N COLLEGE AVE,LB519,BPD,NO REPORT NEEDED
B16-33736,8/25/16,10:59 PM,August,Thursday,DISTURBANCE IP,212 N MORTON ST,LB101,BPD,NO REPORT NEEDED
B16-33708,8/25/16,8:02 PM,August,Thursday,DISTURBANCE IP,107 N DUNN ST; HARTZELLS ICE CREAM,LB102,BPD,NO REPORT NEEDED
B16-33675,8/25/16,4:26 PM,August,Thursday,DISTURBANCE IP,503 W KIRKWOOD AVE; CIRCLE K KIRKWOOD AND ROGERS; CIRCLE K,LB408,BPD,NO REPORT NEEDED
B16-33649,8/25/16,1:47 PM,August,Thursday,DISTURBANCE IP,1150 S CLARIZZ BLVD,LB310,BPD,NO REPORT NEEDED
B16-33637,8/25/16,10:35 AM,August,Thursday,DISTURBANCE IP,100 S PETE ELLIS DR; APT A15,LB221,BPD,REPORT NEEDED
B16-33609,8/25/16,3:50 AM,August,Thursday,DISTURBANCE IP,406 E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-33534,8/24/16,7:08 PM,August,Wednesday,DISTURBANCE IP,219 E 4TH ST; FIRST UNITED METHODIST CHURCH,LB104,BPD,NO REPORT NEEDED
B16-33458,8/24/16,10:16 AM,August,Wednesday,DISTURBANCE IP,515 W 6TH ST; APT 3,LB520,BPD,REPORT NEEDED
B16-33409,8/23/16,11:07 PM,August,Tuesday,DISTURBANCE IP,2432 S WINSLOW CT,LB326,BPD,NO REPORT NEEDED
B16-33366,8/23/16,6:53 PM,August,Tuesday,DISTURBANCE IP,"2317 S ROCKPORT RD; APT D, 220 E 2RD",LB423,BPD,NO REPORT NEEDED
B16-33336,8/23/16,2:39 PM,August,Tuesday,DISTURBANCE IP,303 E KIRKWOOD AVE,LB102,BPD,REPORT NEEDED
B16-33322,8/23/16,12:34 PM,August,Tuesday,DISTURBANCE IP,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,REPORT NEEDED
B16-33313,8/23/16,12:05 PM,August,Tuesday,DISTURBANCE IP,550 S LANDMARK AVE; IMA,LB405,BPD,NO REPORT NEEDED
B16-33310,8/23/16,11:51 AM,August,Tuesday,DISTURBANCE IP,316 W 6TH ST; BLOOMINGFOODS,LB101,BPD,NO REPORT NEEDED
B16-33289,8/23/16,9:29 AM,August,Tuesday,DISTURBANCE IP,1616 W 3RD ST; ROLLY POLLY,LB521,BPD,NO REPORT NEEDED
B16-33277,8/23/16,7:11 AM,August,Tuesday,DISTURBANCE IP,219 E 4TH ST; FIRST UNITED METHODIST CHURCH,LB104,BPD,REPORT NEEDED
B16-33255,8/22/16,11:49 PM,August,Monday,DISTURBANCE IP,1005 N ROGERS ST; UNIT B6,LB518,BPD,NO REPORT NEEDED
B16-33251,8/22/16,11:00 PM,August,Monday,DISTURBANCE IP,703 W GOURLEY PIKE; COLONIAL CREST APARTMENTS; APT 149,LB513,BPD,REPORT NEEDED
B16-33236,8/22/16,8:33 PM,August,Monday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,NO REPORT NEEDED
B16-33232,8/22/16,8:32 PM,August,Monday,DISTURBANCE IP,1118 N LINDBERGH DR,LB517,BPD,NO REPORT NEEDED
B16-33228,8/22/16,8:03 PM,August,Monday,DISTURBANCE IP,4415 W IRIS LN,LB428,BPD,NO REPORT NEEDED
B16-33190,8/22/16,2:53 PM,August,Monday,DISTURBANCE IP,2381 S BRANDON CT,LB326,BPD,REPORT NEEDED
B16-33179,8/22/16,1:47 PM,August,Monday,DISTURBANCE IP,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT NEEDED
B16-33144,8/22/16,9:30 AM,August,Monday,DISTURBANCE IP,2464 S WINSLOW CT,LB326,BPD,REPORT NEEDED
B16-33085,8/21/16,9:01 PM,August,Sunday,DISTURBANCE IP,823 N MAPLE ST,LB518,BPD,REPORT NEEDED
B16-33077,8/21/16,7:18 PM,August,Sunday,DISTURBANCE IP,615 S ADAMS ST; MONROE COUNTY YOUTH SHELTER,LB406,BPD,NO REPORT NEEDED
B16-33072,8/21/16,6:43 PM,August,Sunday,DISTURBANCE IP,920 S RANSOM LN,LB414,BPD,REPORT NEEDED
B16-33027,8/21/16,12:31 PM,August,Sunday,DISTURBANCE IP,2500 S ROCKPORT RD; APT 2005,LB424,BPD,NO REPORT NEEDED
B16-32983,8/21/16,3:16 AM,August,Sunday,DISTURBANCE IP,430 E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-32964,8/21/16,1:53 AM,August,Sunday,DISTURBANCE IP,1304 N KINSER PIKE,LB512,BPD,NO REPORT NEEDED
B16-32948,8/21/16,1:08 AM,August,Sunday,DISTURBANCE IP,2015 N DUNN ST; CEDAR CREEK APARTMENTS,LB212,BPD,NO REPORT NEEDED
B16-32945,8/21/16,1:00 AM,August,Sunday,DISTURBANCE IP,365 E VARSITY LN,LB212,BPD,NO REPORT NEEDED
B16-32937,8/21/16,12:37 AM,August,Sunday,DISTURBANCE IP,E 19TH ST & N LINCOLN ST,LB212,BPD,NO REPORT NEEDED
B16-32934,8/21/16,12:30 AM,August,Sunday,DISTURBANCE IP,482 E VARSITY LN,LB212,BPD,NO REPORT NEEDED
B16-32933,8/21/16,12:24 AM,August,Sunday,DISTURBANCE IP,2304 S BRANDON CT,LB326,BPD,NO REPORT NEEDED
B16-32928,8/21/16,12:12 AM,August,Sunday,DISTURBANCE IP,1001 S HENDERSON ST; BRYAN PARK PLAYGROUND,LB313,BPD,NO REPORT NEEDED
B16-32927,8/21/16,12:01 AM,August,Sunday,DISTURBANCE IP,494 E VARSITY LN,LB212,BPD,NO REPORT NEEDED
B16-32908,8/20/16,11:26 PM,August,Saturday,DISTURBANCE IP,109 E 12TH ST,LB213,BPD,NO REPORT NEEDED
B16-32887,8/20/16,10:35 PM,August,Saturday,DISTURBANCE IP,1201 W ALLEN ST; APT 10,LB413,BPD,REPORT NEEDED
B16-32880,8/20/16,10:15 PM,August,Saturday,DISTURBANCE IP,2100 S LIBERTY DR; EL RANCHERO SOUTH; LIBERTY BANQUET HALL,LB416,BPD,NO REPORT NEEDED
B16-32838,8/20/16,4:02 PM,August,Saturday,DISTURBANCE IP,3295 S WALNUT SPRINGS DR; THE CROSSINGS,LB336,BPD,REPORT NEEDED
B16-32835,8/20/16,3:24 PM,August,Saturday,DISTURBANCE IP,2615 E 3RD ST; BLOOMINGTON TRAVELODGE,LB221,BPD,NO REPORT NEEDED
B16-32731,8/20/16,12:50 AM,August,Saturday,DISTURBANCE IP,622 E 11TH ST,LB214,BPD,NO REPORT NEEDED
B16-32729,8/20/16,12:45 AM,August,Saturday,DISTURBANCE IP,810 N WASHINGTON ST,LB213,BPD,NO REPORT NEEDED
B16-32666,8/19/16,6:56 PM,August,Friday,DISTURBANCE IP,321 N LINCOLN ST,LB102,BPD,NO REPORT NEEDED
B16-32644,8/19/16,4:40 PM,August,Friday,DISTURBANCE IP,1600 N WILLIS DR; LOT 110,LB513,BPD,NO REPORT NEEDED
B16-32634,8/19/16,3:31 PM,August,Friday,DISTURBANCE IP,708 S CORY LN; LOT 58,LMS30,BPD,NO REPORT NEEDED
B16-32626,8/19/16,2:55 PM,August,Friday,DISTURBANCE IP,S HUNTINGTON DR & E HILLSIDE DR,LB313,BPD,NO REPORT NEEDED
B16-32485,8/18/16,10:45 PM,August,Thursday,DISTURBANCE IP,2413 S WINSLOW CT,LB326,BPD,REPORT NEEDED
B16-32393,8/18/16,4:14 PM,August,Thursday,DISTURBANCE IP,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,NO REPORT NEEDED
B16-32373,8/18/16,2:34 PM,August,Thursday,DISTURBANCE IP,1100 W 4TH ST; ROSE HILL CEMETERY,LB408,BPD,NO REPORT NEEDED
B16-32299,8/18/16,5:39 AM,August,Thursday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,NO REPORT NEEDED
B16-32245,8/17/16,10:52 PM,August,Wednesday,DISTURBANCE IP,301 S WALNUT ST,LB104,BPD,NO REPORT NEEDED
B16-32226,8/17/16,8:43 PM,August,Wednesday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,REPORT NEEDED
B16-32176,8/17/16,3:12 PM,August,Wednesday,DISTURBANCE IP,401 S WASHINGTON ST; MIDDLE WAY HOUSE THE RISE,LB104,BPD,NO REPORT NEEDED
B16-32170,8/17/16,2:52 PM,August,Wednesday,DISTURBANCE IP,205 E KIRKWOOD AVE; FIRST CHRISTIAN CHURCH,LB102,BPD,REPORT NEEDED
B16-32145,8/17/16,12:32 PM,August,Wednesday,DISTURBANCE IP,2440 S HENDERSON ST;APT 304,LB327,BPD,NO REPORT NEEDED
B16-32142,8/17/16,12:10 PM,August,Wednesday,DISTURBANCE IP,2709 E BRIGS BND,LB320,BPD,REPORT NEEDED
B16-32103,8/17/16,6:32 AM,August,Wednesday,DISTURBANCE IP,4216 E PENN CT,LB219,BPD,REPORT NEEDED
B16-32063,8/16/16,11:39 PM,August,Tuesday,DISTURBANCE IP,480 S MORTON ST; BUBS BURGERS AND ICE CREAM,LB103,BPD,REPORT NEEDED
B16-32031,8/16/16,9:30 PM,August,Tuesday,DISTURBANCE IP,1212 N ARLINGTON PARK DR; APT 113,LB514,BPD,REPORT NEEDED
B16-31979,8/16/16,5:56 PM,August,Tuesday,DISTURBANCE IP,S GRANT ST & E KIRKWOOD AVE,LB102,BPD,REPORT NEEDED
B16-31932,8/16/16,1:20 PM,August,Tuesday,DISTURBANCE IP,N MADISON ST & W 17TH ST,LB519,BPD,NO REPORT NEEDED
B16-31878,8/16/16,4:52 AM,August,Tuesday,DISTURBANCE IP,1201 N MAPLE ST; WILLOWBROOK APARTMENTS,LB518,BPD,NO REPORT NEEDED
B16-31871,8/16/16,3:20 AM,August,Tuesday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT NEEDED
B16-31869,8/16/16,3:08 AM,August,Tuesday,DISTURBANCE IP,S WASHINGTON ST & E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-31807,8/15/16,8:20 PM,August,Monday,DISTURBANCE IP,1400 W RCA PARK DR; RCA PARK PLAYGROUND; RCA COMMUNITY PARK,LB419,BPD,NO REPORT NEEDED
B16-31739,8/15/16,11:51 AM,August,Monday,DISTURBANCE IP,221 W 2ND ST; WENDYS SEMINARY SQUARE,LB410,BPD,NO REPORT NEEDED
B16-31735,8/15/16,11:30 AM,August,Monday,DISTURBANCE IP,619 W HOWE ST;BUILDING TRADES PARK,LB409,BPD,NO REPORT NEEDED
B16-31674,8/14/16,9:43 PM,August,Sunday,DISTURBANCE IP,422 E KIRKWOOD AVE; WHICH WICH SUPERIOR SANDWICHES,LB104,BPD,NO REPORT NEEDED
B16-31658,8/14/16,6:39 PM,August,Sunday,DISTURBANCE IP,300 E STATE ROAD 45 46 BYPASS; APT 1,LB212,BPD,NO REPORT NEEDED
B16-31559,8/14/16,1:51 AM,August,Sunday,DISTURBANCE IP,303 E KIRKWOOD AVE; MONROE COUNTY PUBLIC LIBRARY,LB102,BPD,NO REPORT NEEDED
B16-31538,8/13/16,11:05 PM,August,Saturday,DISTURBANCE IP,2500 S ROCKPORT RD; 1907,LB424,BPD,NO REPORT NEEDED
B16-31511,8/13/16,8:33 PM,August,Saturday,DISTURBANCE IP,1025 N SUMMIT ST,LB517,BPD,NO REPORT NEEDED
B16-31482,8/13/16,3:36 PM,August,Saturday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT A 84,LB336,BPD,NO REPORT NEEDED
B16-31451,8/13/16,11:21 AM,August,Saturday,DISTURBANCE IP,338 S WASHINGTON ST; MIDDLE WAY HOUSE,LB104,BPD,REPORT NEEDED
B16-31435,8/13/16,9:48 AM,August,Saturday,DISTURBANCE IP,1005 N ROGERS ST; apt b4,LB518,BPD,NO REPORT NEEDED
B16-31419,8/13/16,3:34 AM,August,Saturday,DISTURBANCE IP,S WALNUT ST & E KIRKWOOD AVE,,BPD,NO REPORT NEEDED
B16-31411,8/13/16,2:18 AM,August,Saturday,DISTURBANCE IP,343 E WINSLOW RD; WINSLOW LAUNDROMAT,LB326,BPD,NO REPORT NEEDED
B16-31385,8/12/16,11:50 PM,August,Friday,DISTURBANCE IP,1421 N WILLIS DR; CLASSIC BOWLING LANES,LB513,BPD,NO REPORT NEEDED
B16-31325,8/12/16,5:13 PM,August,Friday,DISTURBANCE IP,714 S FAIRVIEW ST; APT 8,LB409,BPD,NO REPORT NEEDED
B16-31316,8/12/16,4:00 PM,August,Friday,DISTURBANCE IP,100 E KIRKWOOD AVE; TROJAN HORSE,LB104,BPD,NO REPORT NEEDED
B16-31272,8/12/16,12:17 PM,August,Friday,DISTURBANCE IP,N WALNUT ST & W 15TH ST,LB519,BPD,NO REPORT NEEDED
B16-31214,8/12/16,7:52 AM,August,Friday,DISTURBANCE IP,913 N COLLEGE AVE,LB519,BPD,NO REPORT NEEDED
B16-31209,8/12/16,7:10 AM,August,Friday,DISTURBANCE IP,3233 W JACOB DR; WHITE CASTLE,LB524,BPD,NO REPORT NEEDED
B16-31190,8/12/16,12:32 AM,August,Friday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-31158,8/11/16,8:39 PM,August,Thursday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT NEEDED
B16-31067,8/11/16,10:41 AM,August,Thursday,DISTURBANCE IP,422 S WASHINGTON ST; APT 19,LB104,BPD,NO REPORT NEEDED
B16-31050,8/11/16,7:47 AM,August,Thursday,DISTURBANCE IP,1205 S LINCOLN ST,LB314,BPD,NO REPORT NEEDED
B16-31037,8/11/16,1:40 AM,August,Thursday,DISTURBANCE IP,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,NO REPORT NEEDED
B16-31033,8/11/16,1:00 AM,August,Thursday,DISTURBANCE IP,2384 S BRANDON CT,LB326,BPD,NO REPORT NEEDED
B16-30994,8/10/16,6:48 PM,August,Wednesday,DISTURBANCE IP,919 W GRAHAM DR; 919 1/2,LB423,BPD,NO REPORT NEEDED
B16-30913,8/10/16,8:33 AM,August,Wednesday,DISTURBANCE IP,1305 W 12TH ST,LB517,BPD,REPORT NEEDED
B16-30912,8/10/16,8:13 AM,August,Wednesday,DISTURBANCE IP,709 S WALNUT ST; APT 2 REAR APT,LB301,BPD,NO REPORT NEEDED
B16-30907,8/10/16,5:40 AM,August,Wednesday,DISTURBANCE IP,800 N SMITH RD; APT L7,LB218,BPD,REPORT NEEDED
B16-30893,8/10/16,12:04 AM,August,Wednesday,DISTURBANCE IP,1136 W 17TH ST,LB513,BPD,NO REPORT NEEDED
B16-30874,8/9/16,9:03 PM,August,Tuesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE; APT A,LB336,BPD,NO REPORT NEEDED
B16-30793,8/9/16,12:01 PM,August,Tuesday,DISTURBANCE IP,3939 W ROLL AVE,LB416,BPD,NO REPORT NEEDED
B16-30773,8/9/16,10:14 AM,August,Tuesday,DISTURBANCE IP,2500 S ROCKPORT RD; APT 1502,LB424,BPD,REPORT NEEDED
B16-30742,8/9/16,12:18 AM,August,Tuesday,DISTURBANCE IP,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,NO REPORT NEEDED
B16-30709,8/8/16,8:45 PM,August,Monday,DISTURBANCE IP,408 E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-30683,8/8/16,4:44 PM,August,Monday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-30667,8/8/16,2:42 PM,August,Monday,DISTURBANCE IP,400 E 7TH ST; POPLARS BUILDING,LB102,BPD,NO REPORT NEEDED
B16-30663,8/8/16,1:57 PM,August,Monday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6,LB212,BPD,NO REPORT NEEDED
B16-30651,8/8/16,12:19 PM,August,Monday,DISTURBANCE IP,1800 N WALNUT ST; MOTEL 6,LB212,BPD,NO REPORT NEEDED
B16-30647,8/8/16,12:00 PM,August,Monday,DISTURBANCE IP,2036 N WALNUT ST; B8,LB212,BPD,NO REPORT NEEDED
B16-30587,8/7/16,9:10 PM,August,Sunday,DISTURBANCE IP,N WALNUT ST & E 6TH ST,LB101,BPD,REPORT NEEDED
B16-30513,8/7/16,4:19 AM,August,Sunday,DISTURBANCE IP,1230 W 20TH ST,LB514,BPD,NO REPORT NEEDED
B16-30510,8/7/16,3:14 AM,August,Sunday,DISTURBANCE IP,619 W HOWE ST; BUILDING AND TRADES PARK,LB409,BPD,REPORT NEEDED
B16-30460,8/6/16,5:37 PM,August,Saturday,DISTURBANCE IP,303 E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-30439,8/6/16,3:15 PM,August,Saturday,DISTURBANCE IP,2307 S ROCKPORT RD,LB423,BPD,NO REPORT NEEDED
B16-30405,8/6/16,10:35 AM,August,Saturday,DISTURBANCE IP,2489 S BRITTANY LN,LB326,BPD,NO REPORT NEEDED
B16-30379,8/6/16,3:26 AM,August,Saturday,DISTURBANCE IP,209 S COLLEGE AVE,LB103,BPD,NO REPORT NEEDED
B16-30369,8/6/16,1:24 AM,August,Saturday,DISTURBANCE IP,221 N WALNUT ST; BLACKS MERCANTILE,LB101,BPD,NO REPORT NEEDED
B16-30358,8/6/16,12:10 AM,August,Saturday,DISTURBANCE IP,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,NO REPORT NEEDED
B16-30354,8/5/16,11:57 PM,August,Friday,DISTURBANCE IP,105 W 7TH ST; VIDEO SALOON,LB101,BPD,NO REPORT NEEDED
B16-30346,8/5/16,11:13 PM,August,Friday,DISTURBANCE IP,350 W 11TH ST; UPLAND BREWING COMPANY,LB519,BPD,NO REPORT NEEDED
B16-30345,8/5/16,11:12 PM,August,Friday,DISTURBANCE IP,2424 S WALNUT ST; LUCKYS MARKET,LB422,BPD,NO REPORT NEEDED
B16-30212,8/5/16,7:15 AM,August,Friday,DISTURBANCE IP,1205 S LINCOLN ST,LB314,BPD,NO REPORT NEEDED
B16-30199,8/5/16,2:24 AM,August,Friday,DISTURBANCE IP,215 N WALNUT ST; BROTHERS BAR AND GRILL,LB101,BPD,NO REPORT NEEDED
B16-30166,8/4/16,9:39 PM,August,Thursday,DISTURBANCE IP,1330 N ARLINGTON PARK DR,LB514,BPD,NO REPORT NEEDED
